cap_id,school_name,subjectcluster,degree_name,subjectdegreecluster
1385,university-of-southern-california-school-of-social-work,1,doctorate,14
1501,sacred-heart-university,1,doctorate,14
1551,university-of-southern-california-online,1,doctorate,14
1611,baylor-university-school-of-education,1,doctorate,14
1697,university-of-southern-california-school-of-social-work,1,doctorate,14
1731,baylor-university-school-of-education,1,doctorate,14
1733,baylor-university-school-of-education,1,doctorate,14
1763,vanderbilt-university,1,doctorate,14
1803,capella-university,1,doctorate,14
1823,george-washington-university-school-of-medicine-health-sciences,1,doctorate,14
2101,maryville-university,1,doctorate,14
2115,university-of-dayton,1,doctorate,14
2167,regis-college,1,doctorate,14
2169,regis-college,1,doctorate,14
2341,baylor-university-school-of-education,1,doctorate,14
2345,university-of-dayton,1,doctorate,14
2391,university-of-southern-california-school-of-social-work,1,doctorate,14
2393,university-of-southern-california-school-of-social-work,1,doctorate,14
2467,walden-international,1,doctorate,14
2497,fordham-university,1,doctorate,14
2573,bradley-university,1,doctorate,14
2655,university-of-the-southwest,1,doctorate,14
2857,brandman-university,1,doctorate,14
3139,university-of-st-augustine,1,doctorate,14
3269,university-of-st-augustine,1,doctorate,14
3297,university-of-southern-california-school-of-social-work,1,doctorate,14
3339,georgetown-university,1,doctorate,14
3465,university-of-southern-california-school-of-social-work,1,doctorate,14
3513,university-of-southern-california-school-of-social-work,1,doctorate,14
3515,university-of-southern-california-school-of-social-work,1,doctorate,14
3517,university-of-southern-california-school-of-social-work,1,doctorate,14
3519,simmons-university-school-of-nursing,1,doctorate,14
3531,marymount-university,1,doctorate,14
3555,rivier-university,1,doctorate,14
3571,concord-law-school-at-purdue-university-global,1,doctorate,14
3583,northern-kentucky-university,1,doctorate,14
3591,wilkes-university,1,doctorate,14
3651,notre-dame-of-maryland-university,1,doctorate,14
3675,walden-university,1,doctorate,14
965,capella-university,1,doctorate,14
3471,walden-university,1,non-degree,15
3473,purdue-university-global,1,non-degree,15
3521,simmons-university-school-of-nursing,1,non-degree,15
3525,syracuse-university,1,non-degree,15
3527,university-of-denver,1,non-degree,15
3529,university-of-dayton-mba,1,non-degree,15
1085,george-washington-university-education,1,grad-certificates,16
1459,queens-university-of-charlotte,1,grad-certificates,16
1999,penn-foster-career-school,1,certificate,16
2017,george-washington-university,1,grad-certificates,16
2019,george-washington-university,1,grad-certificates,16
2021,george-washington-university,1,grad-certificates,16
2173,regis-college,1,grad-certificates,16
2175,regis-college,1,grad-certificates,16
2597,campbellsville-university,1,grad-certificates,16
2867,george-washington-university,1,grad-certificates,16
2987,utica-college,1,certificate,16
2989,ultimate-medical-academy,1,certificate,16
31,penn-foster-college,1,certificate,16
3265,purdue-university-global,1,certificate,16
3311,colorado-state-university-global-campus,1,certificate,16
3349,penn-foster-college,1,certificate,16
3467,msu-broad-school-of-business,1,grad-certificates,16
3467,michigan-state-university-online,1,grad-certificates,16
3591,wilkes-university,1,grad-certificates,16
962,herzing-university,1,certificate,16
992,george-washington-university,1,grad-certificates,16
1014,southern-new-hampshire-university,2,bachelors,22
1014,liberty-university-online,2,bachelors,22
1751,southern-new-hampshire-university,2,bachelors,22
1751,liberty-university-online,2,bachelors,22
1751,southern-new-hampshire-university,2,masters,23
1751,liberty-university-online,2,masters,23
1086,southern-new-hampshire-university,3,associates,31
1831,ashford-university,3,associates,31
2273,purdue-university-global,3,associates,31
3443,ashford-university,3,associates,31
1086,southern-new-hampshire-university,3,bachelors,32
1146,liberty-university-online,3,bachelors,32
1192,arizona-state-university,3,bachelors,32
1831,ashford-university,3,bachelors,32
2273,purdue-university-global,3,bachelors,32
3143,purdue-university-global,3,bachelors,32
3443,ashford-university,3,bachelors,32
1801,capella-university,3,masters,33
2273,purdue-university-global,3,masters,33
2541,northcentral-university,3,masters,33
3145,purdue-university-global,3,masters,33
856,walden-university,3,masters,33
2539,northcentral-university,3,doctorate,34
3145,purdue-university-global,3,doctorate,34
856,walden-university,3,doctorate,34
857,walden-university,3,doctorate,34
1801,capella-university,3,non-degree,35
2273,purdue-university-global,3,non-degree,35
856,walden-university,3,non-degree,35
2273,purdue-university-global,3,certificate,36
2273,purdue-university-global,3,grad-certificates,36
3143,purdue-university-global,3,grad-certificates,36
3145,purdue-university-global,3,grad-certificates,36
1156,liberty-university-online,4,masters,43
1156,liberty-university-online,4,doctorate,44
